"course_id","num_videos_watched","did_dropout","satisfaction"
"C1",99,0,4.33333333333333
"C1",56,0,3.33333333333333
"C1",NA,0,4.33333333333333
"C1",NA,0,5.33333333333333
"C1",NA,0,5.33333333333333
"C1",NA,0,6
"C1",60,0,5.66666666666667
"C1",NA,0,4.66666666666667
"C1",32,0,5
"C1",NA,0,5.33333333333333
"C1",42,0,4.33333333333333
"C1",81,0,5.33333333333333
"C1",27,0,3.66666666666667
"C1",29,0,5.33333333333333
"C1",NA,0,5.33333333333333
"C1",135,0,2.66666666666667
"C1",31,0,5
"C1",NA,0,5
"C1",3,0,5
"C1",52,0,6.33333333333333
"C1",NA,0,4.66666666666667
"C1",7,0,3
"C1",15,0,5
"C1",41,0,5.33333333333333
"C1",NA,0,5.66666666666667
"C1",59,0,5.66666666666667
"C1",NA,1,3.33333333333333
"C1",NA,0,4.66666666666667
"C1",NA,0,5
"C1",58,0,4.66666666666667
"C1",NA,0,4.66666666666667
"C1",NA,1,5.33333333333333
"C1",NA,0,5.66666666666667
"C1",64,0,3.66666666666667
"C1",NA,0,4
"C1",NA,0,5.33333333333333
"C1",69,0,5
"C1",NA,0,6.33333333333333
"C1",6,0,3.33333333333333
"C1",66,0,4
"C1",10,0,5.33333333333333
"C1",NA,0,5.33333333333333
"C1",114,0,4.33333333333333
"C1",54,0,4.33333333333333
"C1",NA,0,4.66666666666667
"C1",8,0,5.33333333333333
"C1",6,0,5.33333333333333
"C1",45,0,5.33333333333333
"C1",53,0,4.33333333333333
"C1",NA,0,6.33333333333333
"C1",NA,0,5.33333333333333
"C1",5,0,5
"C1",30,0,6
"C1",47,0,5.66666666666667
"C1",18,0,3.33333333333333
"C1",29,0,5.66666666666667
"C1",NA,0,5.66666666666667
"C1",93,0,4.66666666666667
"C1",23,0,5.66666666666667
"C1",20,0,5.33333333333333
"C1",20,0,5.33333333333333
"C1",9,0,4.33333333333333
"C1",62,0,6.33333333333333
"C1",120,0,3
"C1",19,0,5.33333333333333
"C1",6,0,5
"C1",NA,1,3
"C1",NA,NA,4.33333333333333
"C1",2,0,5.33333333333333
"C1",88,0,5.33333333333333
"C1",NA,0,5.33333333333333
"C1",17,0,4.33333333333333
"C1",NA,0,5
"C1",NA,0,6
"C1",21,0,5.66666666666667
"C1",2,0,2.66666666666667
"C1",46,0,5
"C1",NA,0,6
"C1",50,1,5
"C1",NA,1,3.66666666666667
"C1",19,0,4.33333333333333
"C1",NA,0,3.66666666666667
"C1",14,0,4.33333333333333
"C1",63,0,5.33333333333333
"C1",116,0,5
"C1",NA,0,4.66666666666667
"C1",29,1,4
"C1",NA,NA,4
"C1",NA,0,5.33333333333333
"C1",7,0,5
"C1",0,0,6.33333333333333
"C1",NA,0,6.33333333333333
"C1",NA,0,5
"C1",51,0,5.33333333333333
"C1",46,0,5
"C1",92,0,5.33333333333333
"C1",NA,0,3.66666666666667
"C1",66,0,5.33333333333333
"C1",NA,0,5.33333333333333
"C1",NA,0,5.33333333333333
"C1",NA,1,3.66666666666667
"C1",6,0,4.33333333333333
"C1",9,1,4
"C1",NA,0,6
"C1",138,0,6
"C1",NA,0,5
"C1",144,0,5.33333333333333
"C1",6,0,4.33333333333333
"C1",114,0,5.33333333333333
"C1",NA,0,4.66666666666667
"C1",NA,1,4
"C1",9,0,5.33333333333333
"C1",8,0,5.66666666666667
"C1",NA,0,3.33333333333333
"C1",85,0,4.66666666666667
"C1",NA,0,5
"C1",NA,0,4.33333333333333
"C1",38,0,4.66666666666667
"C1",NA,0,4.66666666666667
"C1",NA,0,6
"C1",NA,0,4.33333333333333
"C1",33,0,6.33333333333333
"C1",NA,0,5
"C1",NA,0,5
"C1",30,0,5
"C1",65,0,5.33333333333333
"C1",NA,0,4.33333333333333
"C1",NA,0,4.33333333333333
"C1",29,0,3.33333333333333
"C1",NA,0,5
"C1",NA,0,3.33333333333333
"C1",14,0,4
"C1",11,0,5.33333333333333
"C1",NA,0,6.33333333333333
"C1",NA,1,5.33333333333333
"C1",9,0,5.33333333333333
"C1",17,0,4
"C1",123,0,4.66666666666667
"C1",20,0,4.33333333333333
"C1",NA,0,5.33333333333333
"C1",75,0,5.33333333333333
